id	sent_nr	sent	manual_anaphoras	non-12-per_anaphoras	has_anaphoras	has_unresolved_ana	has_resolved_ana	sbn_anaphoras	drc_anaphoras
d0349_p30	1	Anne lost control and laughed.			FALSE	FALSE	FALSE	[]	[]
d0349_p31	2	Billy wrote on the envelope.			FALSE	FALSE	FALSE	[]	[]
d0349_p32	3	He called over his shoulder.	he(?), his(-3)	he(?), his(-3)	TRUE	TRUE	TRUE	[('his', 'male.n.02', '-3', 'male.n.02', 'He')]	[[[('He', '0', '2'), ('his', '15', '18')]]]
d0349_p33	4	He stayed against the wall.	he(?)	he(?)	TRUE	TRUE	FALSE	[]	[]
d0349_p34	5	Helen ran to the toilet.			FALSE	FALSE	FALSE	[]	[]
d0349_p35	6	I cannot tell you more.	I(?), you(?)		FALSE	FALSE	FALSE	[]	[]
d0349_p36	7	Michael gave Adam two pounds.			FALSE	FALSE	FALSE	[]	[]
d0349_p37	8	Roger smiled and sat down.			FALSE	FALSE	FALSE	[]	[]
d0349_p38	9	Things were looking up again.			FALSE	FALSE	FALSE	[]	[]
d0349_p39	10	This man's hair is black.	this{dem}(?)	this{dem}(?)	TRUE	TRUE	FALSE	[]	[]
d0349_p40	11	Turn your hearing aid up.	your(?)		FALSE	FALSE	FALSE	[]	[]
d0349_p41	12	You'll demand nothing of me.	you(?), me(?)		FALSE	FALSE	FALSE	[]	[]
d0349_p42	13	A horse has thrown a shoe.			FALSE	FALSE	FALSE	[]	[]
d0349_p43	14	A tube train took his legs.	his(?)	his(?)	TRUE	TRUE	FALSE	[]	[]
d0349_p44	15	Five will be listening for sure.			FALSE	FALSE	FALSE	[]	[]
d0349_p45	16	Gordon felt his anger build up.	his(-2)	his(-2)	TRUE	FALSE	TRUE	[('his', 'male.n.02', '-3', 'male.n.02', 'Gordon')]	[[[('Gordon', '0', '6'), ('his', '12', '15')], [('felt', '7', '11'), ('build', '22', '27')]]]
d0349_p46	17	Harry smiled at his little brother.	his(-3)	his(-3)	TRUE	FALSE	TRUE	[('his', 'male.n.02', '-3', 'male.n.02', 'Harry')]	[[[('Harry', '0', '5'), ('his', '16', '19')]]]
d0349_p47	18	He needed putting in his place.	he(?), his(-4)	he(?), his(-4)	TRUE	TRUE	TRUE	[('his', 'male.n.02', '-4', 'male.n.02', 'He')]	[[[('He', '0', '2'), ('his', '21', '24')]]]
d0349_p48	19	He shouted and the calling ceased.	he(?)	he(?)	TRUE	TRUE	FALSE	[]	[[[('shouted', '3', '10'), ('ceased', '27', '33')]]]
